《骆驼祥子》最高频词汇
========================================

【内容词频次（已去停用词、人名）】

  词  频次   占比%
  钱 240 1.190
  车 216 1.071
 心中 160 0.793
 拉车 107 0.531
 骆驼  92 0.456
 车夫  86 0.426
 身上  72 0.357
 不肯  70 0.347
  死  65 0.322
 主意  65 0.322
 希望  56 0.278
 痛快  51 0.253
 地上  51 0.253
 心里  45 0.223
 买卖  44 0.218
 脸上  44 0.218
 屋里  44 0.218
  汗  43 0.213
 街上  43 0.213
 孩子  41 0.203
 朋友  40 0.198
  病  40 0.198
 办法  40 0.198
  命  38 0.188
  爱  37 0.183
 力气  36 0.179
 喜欢  35 0.174
  新  35 0.174
 女儿  35 0.174
  哭  34 0.169
  白  32 0.159
  风  32 0.159
低着头  31 0.154
  黑  31 0.154
 老者  31 0.154
  热  31 0.154
人和厂  31 0.154
 买车  30 0.149
 声音  30 0.149
 委屈  29 0.144
 关系  28 0.139
 可爱  28 0.139
 屋中  28 0.139
 要强  28 0.139
 收拾  28 0.139
 院中  27 0.134
 巡警  26 0.129
 衣服  26 0.129
 日子  25 0.124
 太阳  25 0.124
 坐下  25 0.124
 呆呆  25 0.124
 点头  25 0.124
  酒  25 0.124
 老婆  25 0.124
 包月  24 0.119
 事儿  24 0.119
 厉害  24 0.119
 来到  24 0.119
 难过  24 0.119
 思索  24 0.119
  苦  24 0.119
 肚子  24 0.119
 头上  23 0.114
 个人  23 0.114
 体面  23 0.114
 便宜  23 0.114
 铺盖  23 0.114
  雪  23 0.114
 经验  22 0.109
 生活  22 0.109
 城里  22 0.109
 不错  22 0.109
 上车  22 0.109
 哆嗦  22 0.109
 车上  22 0.109
 意思  22 0.109
 穿着  22 0.109
  恨  22 0.109
  冷  22 0.109

【高频二元词组】

心中痛快	8
买上车	7
车钱	7
没大关系	6
拉起车	6
刘家父女	6
钱车	5
街上清静	5
头上汗	5
人和厂车	5
张罗买卖	5
漂亮车	4
抄起车把	4
脸上身上	4
主意心中	4
身量力气	4
手中钱	4
车厂子	4
心中舒服	4
心中憋闷	4
手里钱	4
闷葫芦罐儿	4
车拉车	4
出车收车	3
车生活	3

